SampleID,Date,SpeciesID,Density
Hess 1,11/6/2010,MCYA,110.4651
Hess 2,11/6/2010,MCYA,52.3256
Hess 3,11/6/2010,MCYA,17.4419
Hess 4,11/6/2010,MCYA,11.6279
Hess 5,11/6/2010,MCYA,34.8837
Hess 6,11/6/2010,MCYA,23.2558
Hess 1,1/21/2011,MCYA,11.6279
Hess 2,1/21/2011,MCYA,81.3953
Hess 3,1/21/2011,MCYA,5.8140
Hess 4,1/21/2011,MCYA,46.5116
Hess 5,1/21/2011,MCYA,87.2093
Hess 6,1/21/2011,MCYA,52.3256
Hess 1,6/9/2011,MCYA,215.1163
Hess 2,6/9/2011,MCYA,75.5814
Hess 3,6/9/2011,MCYA,389.5349
Hess 4,6/9/2011,MCYA,116.2791
Hess 5,6/9/2011,MCYA,116.2791
Hess 6,6/9/2011,MCYA,162.7907
Hess 1,9/4/2011,MCYA,52.3256
Hess 2,9/4/2011,MCYA,40.6977
Hess 3,9/4/2011,MCYA,58.1395
Hess 4,9/4/2011,MCYA,46.5116
Hess 5,9/4/2011,MCYA,29.0698
Hess 6,9/4/2011,MCYA,81.3953
Hess 1,11/6/2010,MCYL,1366.2791
Hess 2,11/6/2010,MCYL,1290.6977
Hess 3,11/6/2010,MCYL,500.0000
Hess 4,11/6/2010,MCYL,1523.2558
Hess 5,11/6/2010,MCYL,284.8837
Hess 6,11/6/2010,MCYL,854.6512
Hess 1,1/21/2011,MCYL,1250.0000
Hess 2,1/21/2011,MCYL,1354.6512
Hess 3,1/21/2011,MCYL,645.3488
Hess 4,1/21/2011,MCYL,738.3721
Hess 5,1/21/2011,MCYL,331.3953
Hess 6,1/21/2011,MCYL,1511.6279
Hess 1,6/9/2011,MCYL,69.7674
Hess 2,6/9/2011,MCYL,29.0698
Hess 3,6/9/2011,MCYL,145.3488
Hess 4,6/9/2011,MCYL,58.1395
Hess 5,6/9/2011,MCYL,29.0698
Hess 6,6/9/2011,MCYL,63.9535
Hess 1,9/4/2011,MCYL,1034.8837
Hess 2,9/4/2011,MCYL,1517.4419
Hess 3,9/4/2011,MCYL,581.3953
Hess 4,9/4/2011,MCYL,1313.9535
Hess 5,9/4/2011,MCYL,127.9070
Hess 6,9/4/2011,MCYL,296.5116
Hess 1,11/6/2010,CERL,0.0000
Hess 2,11/6/2010,CERL,0.0000
Hess 3,11/6/2010,CERL,0.0000
Hess 4,11/6/2010,CERL,0.0000
Hess 5,11/6/2010,CERL,0.0000
Hess 6,11/6/2010,CERL,0.0000
Hess 1,1/21/2011,CERL,0.0000
Hess 2,1/21/2011,CERL,0.0000
Hess 3,1/21/2011,CERL,0.0000
Hess 4,1/21/2011,CERL,0.0000
Hess 5,1/21/2011,CERL,0.0000
Hess 6,1/21/2011,CERL,0.0000
Hess 1,6/9/2011,CERL,0.0000
Hess 2,6/9/2011,CERL,0.0000
Hess 3,6/9/2011,CERL,0.0000
Hess 4,6/9/2011,CERL,0.0000
Hess 5,6/9/2011,CERL,0.0000
Hess 6,6/9/2011,CERL,0.0000
Hess 1,9/4/2011,CERL,0.0000
Hess 2,9/4/2011,CERL,0.0000
Hess 3,9/4/2011,CERL,0.0000
Hess 4,9/4/2011,CERL,5.8140
Hess 5,9/4/2011,CERL,0.0000
Hess 6,9/4/2011,CERL,5.8140
Hess 1,11/6/2010,CHIA,23.2558
Hess 2,11/6/2010,CHIA,17.4419
Hess 3,11/6/2010,CHIA,0.0000
Hess 4,11/6/2010,CHIA,0.0000
Hess 5,11/6/2010,CHIA,11.6279
Hess 6,11/6/2010,CHIA,0.0000
Hess 1,1/21/2011,CHIA,0.0000
Hess 2,1/21/2011,CHIA,0.0000
Hess 3,1/21/2011,CHIA,0.0000
Hess 4,1/21/2011,CHIA,11.6279
Hess 5,1/21/2011,CHIA,0.0000
Hess 6,1/21/2011,CHIA,0.0000
Hess 1,6/9/2011,CHIA,0.0000
Hess 2,6/9/2011,CHIA,5.8140
Hess 3,6/9/2011,CHIA,0.0000
Hess 4,6/9/2011,CHIA,0.0000
Hess 5,6/9/2011,CHIA,0.0000
Hess 6,6/9/2011,CHIA,0.0000
Hess 1,9/4/2011,CHIA,11.6279
Hess 2,9/4/2011,CHIA,5.8140
Hess 3,9/4/2011,CHIA,0.0000
Hess 4,9/4/2011,CHIA,0.0000
Hess 5,9/4/2011,CHIA,0.0000
Hess 6,9/4/2011,CHIA,0.0000
Hess 1,11/6/2010,CHIP,75.5814
Hess 2,11/6/2010,CHIP,46.5116
Hess 3,11/6/2010,CHIP,122.0930
Hess 4,11/6/2010,CHIP,81.3953
Hess 5,11/6/2010,CHIP,98.8372
Hess 6,11/6/2010,CHIP,46.5116
Hess 1,1/21/2011,CHIP,505.8140
Hess 2,1/21/2011,CHIP,430.2326
Hess 3,1/21/2011,CHIP,81.3953
Hess 4,1/21/2011,CHIP,453.4884
Hess 5,1/21/2011,CHIP,58.1395
Hess 6,1/21/2011,CHIP,87.2093
Hess 1,6/9/2011,CHIP,203.4884
Hess 2,6/9/2011,CHIP,162.7907
Hess 3,6/9/2011,CHIP,133.7209
Hess 4,6/9/2011,CHIP,81.3953
Hess 5,6/9/2011,CHIP,81.3953
Hess 6,6/9/2011,CHIP,139.5349
Hess 1,9/4/2011,CHIP,63.9535
Hess 2,9/4/2011,CHIP,63.9535
Hess 3,9/4/2011,CHIP,40.6977
Hess 4,9/4/2011,CHIP,139.5349
