"","MDS1","MDS2","MDS3"
"2010-11-06 Hess 1",1.07551647076014,0.0180205122377733,0.162047402498108
"2010-11-06 Hess 2",0.989252656411825,0.354954715572899,-0.26036763731285
"2010-11-06 Hess 3",0.78980088903396,0.472475248778115,-0.0915770845332598
"2010-11-06 Hess 4",1.08390825909088,0.434928463209418,0.368423354119683
"2010-11-06 Hess 5",0.924329048220871,0.129368137557055,-0.525832829901851
"2010-11-06 Hess 6",0.899050158968849,0.118910877076089,0.0445351013012654
"2011-01-21 Hess 1",1.12636007335123,-0.0138582777765068,0.459326504894257
"2011-01-21 Hess 2",0.905872270865608,-0.0931620078070083,-0.148380146711111
"2011-01-21 Hess 3",0.960115011617615,-0.10176621175634,-0.253787563844149
"2011-01-21 Hess 4",1.05217182362596,0.0273028461915789,-0.0486797786160242
"2011-01-21 Hess 5",0.454722888243382,-0.054786388794743,-0.241257391691932
"2011-01-21 Hess 6",1.17098452059345,0.174140026143631,-0.251728708017247
"2011-06-09 Hess 1",0.390015879085755,-0.243851547383958,0.272585095070041
"2011-06-09 Hess 2",0.168875314914246,-0.6129404163285,0.355037691115538
"2011-06-09 Hess 3",0.54630169873993,-0.345271813812984,-0.43349443952704
"2011-06-09 Hess 4",-0.0549245425595734,-0.29910460010903,0.262390365104928
"2011-06-09 Hess 5",-0.200814918603499,-0.621438842960335,-0.242034326145382
"2011-06-09 Hess 6",0.204602431252181,-0.261051645093302,-0.14382251679088
"2011-09-04 Hess 1",0.456290180902248,0.439081199917892,0.096828393183549
"2011-09-04 Hess 2",0.65866969514483,0.197155575738956,0.12785415283805
"2011-09-04 Hess 3",0.422406924271355,0.183623745835922,-0.247464151125169
"2011-09-04 Hess 4",1.00400544234843,0.436744974732527,0.0612440677631358
"2011-09-04 Hess 5",0.317285651889816,-0.0756292778184854,0.627955718038845
"2011-09-04 Hess 6",0.344070385277131,0.0290420596559524,-0.34211013959575
"B01143",0.24494670486183,0.0743006151053596,0.381837856586401
"B01144",0.768757412114934,0.0106322802664121,0.491180955921891
"B01145",0.478668389630285,0.0357142234170513,0.30921530515125
"B01146",0.240962658062841,0.096533205229775,0.0136961160337156
"B01147",0.525514344333145,-0.254855005312674,0.259486702203004
"B01148",0.467096704014351,-0.137520827424244,-0.470934849043844
"B01149",0.51605845597289,-0.126455443280903,-0.0354645943312
"B01150",0.616805067090721,-0.322841474095433,-0.0433720018880464
"B01151",-0.289263160323337,0.0510360572495275,0.196338687255051
"B01152",-0.136401666557603,-0.263358175911514,-0.0231168035707416
"B01218",-0.0904125847671867,0.41508694647063,-0.399208776158855
"B01219",0.105399347866654,0.431363759320325,-0.751606661806873
"B01220",0.270988883130418,0.252745767030124,-0.863409371573342
"B01221",0.2357539044273,0.410068577545351,-0.586641684576217
"B01222",-0.610309380396593,0.92670778708309,-0.633770256460363
"B01223",-0.473196293649169,-0.0596703146110702,-0.644059228854197
"B01224",-0.441510290176378,0.432060399536852,-0.415403884668687
"B01225",0.0645448097168871,0.138173430996546,-0.697461877887101
"B01226",-0.637898808474378,0.755150697884591,0.0507312783700752
"B01227",-0.276291080143271,-0.261132116041643,-0.689066842398799
"B01228",-1.41309529332663,-0.184382786172971,-0.376918930537998
"B01229",0.21004517131723,-0.696138888463593,0.238263257272228
"B01230",-0.956158269319263,0.801302450209395,-0.140433665329841
"B01231",-0.393556001670586,0.496264214265752,-0.202191903652567
"B01232",-1.21295247723573,0.39010053402137,-0.0526443746130515
"B01233",-0.701972167222357,0.25893854738344,-0.294215767198684
"B01234",-1.04418447138733,0.595993652485313,-0.0780716330821404
"B01235",-1.4531722960946,0.0411427275210894,-0.200057101465066
"B01236",-1.14338458304859,0.20671828538458,-0.0827087341938782
"B01237",-0.72969755988444,0.532490079776815,-0.213281336971788
"B01255",0.254106323679696,0.0652955197434901,0.131745916249528
"B01256",0.543741972402746,0.686736012296374,0.4858676272345
"B01257",-0.120344582134281,0.154375464208868,0.308367951626821
"B01258",0.811043959889731,0.529430016400801,0.647316482365482
"B01259",-1.31105632182768,-0.138396459300442,0.259053574191593
"B01260",0.081044256429351,0.208873004560769,0.331142131709505
"B01261",-0.136916990002442,-1.44683504149436,-0.633684673752801
"B01262",-0.40565157576029,-0.165354396621519,0.32560573480716
"B01263",-0.97729379722481,0.719753961627062,0.483947926543025
"B01264",-0.330612517094213,0.670888693267835,0.351338883768311
"B01265",-0.494255237890069,-0.665907678125055,0.919077885068454
"B01266",-1.02020056735524,-0.210935410392175,0.552825084408753
"B01267",-0.278819994936373,0.342666700998468,1.14345312732756
"B01268",-0.922601250830428,-0.452923626351338,0.736212002075754
"B01269",0.36736179341504,0.452108143113702,0.416089766572918
"B01270",-0.164490608678552,-0.246987202708952,0.336524574715362
"B01271",-0.796974279661897,0.0763205629755235,0.544843265188888
"B01273",0.108086293022163,0.735419306664187,-0.0186640052527841
"B01274",-0.189861064254053,-0.733622155199987,-1.03816087037274
"B01275",-0.0418714892275483,0.289318901534711,-0.0776014696930406
"B01276",-0.437018489334974,-0.0734399951544758,-0.372970348599396
"B01277",0.410673764710336,-0.300170441086339,-0.0967158167699387
"B01278",0.287050489046535,-0.34316679326186,0.106556313304607
"B01279",0.456167021740269,-0.313022670980039,0.0529581695353895
"B01280",0.0129334111995895,-0.161484897641165,0.121148839402505
"B01281",-0.239790649703025,-0.673917809538649,0.241673660051471
"B01282",0.0422974790938653,-0.341072418582823,-0.0535564597367887
"B01283",0.187736440204574,-0.164984945061965,0.297665810548348
"B01284",-0.0917123976101197,-0.30494101641801,0.461747419288132
"B01373",0.338253294307013,0.354766468107826,-0.252770193574974
"B01374",0.414785964376074,-0.377412557839047,-0.0213214822417939
"B01375",0.119701020134231,0.34850108645131,0.291058713473974
"B01376",0.0853635856326313,0.263093815467061,-0.103908886405784
"B01377",-0.580931246802908,-0.273541927100921,0.225864754308374
"B01378",0.0930704288856408,-0.213637170519445,-0.587313498166342
"B01379",-0.750717620157525,-0.75734809135353,0.29875287668172
"B01380",-0.178242081986781,-0.505687852818653,0.0106261577894733
"B01383",-0.602872036198451,-0.373468979516586,-0.582647264717843
"B01384",-0.564025415349018,-0.0405756722558376,-0.00739838445411248
"B01385",0.738830556063341,-0.484419996135733,0.189638996962965
"B01386",-0.0256623372036525,-0.366724714945667,-0.0575499138126976
"B01387",0.166685481195585,-0.547221516333357,-0.191012728278467
"B01388",-0.562968401861726,-0.294806844451387,0.130296930783171
"B01389",-0.82919670971882,-0.103802629232164,-0.312716553527404
"B01390",-0.749212790779453,0.217603120297996,0.0435369578001367
"B01391",-0.263649590262314,-0.435582769291789,0.0539618145939663
"B01392",-0.882937173890456,0.0571863421213294,0.254692190333967
