"","MDS1","MDS2","MDS3"
"ACLA",0.44154399172991,0.317893153659867,-0.0104176589878961
"ARGI",0.302380415069653,0.166998858745265,-0.35333416975013
"BAEL",-0.481260836670204,0.319444012973679,0.301635919602032
"CALO",1.03727936850429,0.402951663029044,-0.121184850228789
"CAPN",1.24294289850033,-0.234159795051773,0.517053404503467
"CERL",-0.85926448127572,-1.61542266583542,-0.0663711546960326
"CHIL",0.682274763048937,-0.0831629593538125,0.154387791717821
"CHIM",0.712673959893186,-0.141036019597845,0.0119430767602935
"CHLR",1.06043577416988,-0.263113161351016,0.293490580371712
"EMPL",0.682561678155735,-0.262963910167103,0.1566547754079
"HELI",1.09564404017461,-0.291947253732473,0.00747537369536503
"HETA",1.07745027233776,-0.248856661316777,-0.294941285726404
"HYDE",0.632895036311648,0.143665365150059,0.128584322988256
"LEPT",0.913928277038018,-0.0681290227976159,-0.250177538000055
"LETR",0.59983457593093,-0.206598732220716,-0.230934691284501
"MARU",0.710158368889966,-0.220004639550294,-0.480278742217767
"MCYL",0.459071020954623,0.44557989700204,-0.0847400013838821
"MEGL",-0.663107686164952,1.57920250323972,-0.618331757787046
"MITE",-0.148695874753624,0.12218093285619,0.644938132366043
"OCHR",0.340935881673679,-0.16023816115582,-0.167330846836557
"OLIG",0.738806417315606,-0.225937423150432,0.449596128495067
"PETL",0.727343136529078,-0.228277130005654,-0.237995694942655
"PLAN",0.978964194633138,-0.24408500767736,-0.119155428993463
"POLL",-0.0795669711912569,0.12358510940407,0.290541898701555
"RHYL",0.392311061745412,0.00776171133559996,0.133671160246226
"SIML",-0.14582977512022,0.547342873504465,0.314228251296098
"TABL",0.787086641883525,-0.204068894597031,0.0990502899677874
"TIPL",-0.155104598734845,-0.205866930785463,1.14007430853958
