"","ACLA","ARGI","BAEL","CALO","CAPN","CERL","CHIL","CHIM","CHLR","EMPL","HELI","HETA","HYDE","LEPT","LETR","MARU","MCYL","MEGL","MITE","OCHR","OLIG","PETL","PLAN","POLL","RHYL","SIML","TABL","TIPL"
"2010-11-06 Hess 1",0.0260389268805892,0.395348837209302,0.0151401869158878,0,0,0,0.167982529816899,0,0,0,0.623136976579134,0.1875,0.146711635750422,0.101754385964912,0.945029239766082,0.037010927035601,0.581496062992126,0,0.311258278145695,0.115384615384615,0.0437756497948016,0.623481781376518,0.812903225806452,0,0.230769230769231,0.00692440854010387,0.289592760180996,0
"2010-11-06 Hess 2",0.886901630720673,0.395348837209302,0.0390654205607477,0,0,0,0.141609272635646,0.371910112359551,0,0,0.231133191388692,0.265625,0.881956155143339,0.164912280701754,0.353216374269006,1,0.528740157480315,0.27906976744186,0.0397350993377483,1,0.0478796169630643,0.376518218623482,0.324731182795699,0,0.115384615384615,0.117137911136757,0.393665158371041,0
"2010-11-06 Hess 3",0.0381378221988427,0.395348837209302,0.0216822429906542,0,0,0,0.150344364186125,0.0584269662921348,0.260869565217391,0,0.0605630470783061,0,0.185497470489039,0.0596491228070175,0.333333333333333,0.317589002467395,0.203543307086614,0,0,0.230769230769231,0.0177838577291382,0.376518218623482,0.0881720430107527,0,0,0.190998268897865,0.475113122171946,0
"2010-11-06 Hess 4",0.0136770120988953,0.534883720930233,0.0162616822429907,1,0,0,0.121115403997984,0.169662921348315,0.260869565217391,0.0740740740740741,0.693162999763426,0.640625,0.118043844856661,0.470175438596491,0.176608187134503,0.0267888614733874,0.604330708661417,0,0.0794701986754967,0.442307692307692,0.284199726402189,0.776315789473684,0.524731182795699,0.260869565217391,0,0.036930178880554,0.497737556561086,0
"2010-11-06 Hess 5",1,0.27906976744186,0.0379439252336449,0,0,0,0.114228120275491,0.248314606741573,0,0.0740740740740741,0.0260231842914597,0.09375,0.539629005059022,0.0596491228070175,0.456140350877193,0.0183292210081072,0.125984251968504,0.534883720930233,0,0.115384615384615,0.0198358413132695,0.32995951417004,0.0258064516129032,0.260869565217391,1,0.0403923831506059,0.158371040723982,0
"2010-11-06 Hess 6",0.047343503419253,0.395348837209302,0.0205607476635514,0,0,0,0.112380312447505,0.202247191011236,0,0,0.121126094156612,0.265625,0.236087689713322,0.0596491228070175,0.142690058479532,0.590059922453296,0.345669291338583,0.13953488372093,0.152317880794702,0,0.0557455540355677,0.240890688259109,0.550537634408602,0,0.230769230769231,0.0634737449509521,0.235294117647059,0
"2011-01-21 Hess 1",0.0213045765386639,0.13953488372093,0.120560747663551,0.5,1,0,1,0.666292134831461,0.260869565217391,0.0740740740740741,1,0.1875,0.177065767284992,0.203508771929825,0.0748538011695906,0.0267888614733874,0.496850393700787,0,0.463576158940397,0.326923076923077,1,0.294534412955466,0.236559139784946,0,0,0.0467397576457011,1,0
"2011-01-21 Hess 2",0.619410836401894,0.13953488372093,0.243364485981308,0,0.739130434782609,0,0.851671426171678,0.0719101123595506,0.260869565217391,0.358024691358025,0.334279630943932,0.1875,0.578414839797639,0.143859649122807,0.0339181286549708,0.0553401480437081,0.565354330708661,0,0.615894039735099,0.788461538461538,0.0995212038303694,0.529352226720648,0.350537634408602,0,0.326923076923077,0.0773225620311598,0.579185520361991,0
"2011-01-21 Hess 3",0.11625460284061,0,0.0902803738317757,0,0.521739130434783,0,0.329077775911305,0.202247191011236,1,0.358024691358025,0.0702625975869411,0,0.185497470489039,0.0210526315789474,0.12280701754386,0.0246739513570673,0.256299212598425,0,0.0794701986754967,0.326923076923077,0.175102599179207,0.194331983805668,0.4,0,0.115384615384615,0.0836699365262551,0.579185520361991,0.5
"2011-01-21 Hess 4",0.079431877958969,0.953488372093023,0.107663551401869,0,0.739130434782609,0,0.740299008903074,0.097752808988764,1,0.358024691358025,0.314880529926662,0.09375,0.342327150084317,0.203508771929825,1,0.0246739513570673,0.309055118110236,0.13953488372093,0.311258278145695,0.788461538461538,0.0636114911080711,0.776315789473684,0.0752688172043011,0,0.115384615384615,0.0201961915753029,0.316742081447964,0.5
